epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.828125,0.4590776264667511,,
0,99,0.953125,0.15860849618911743,,
0,149,0.953125,0.20660021901130676,,
0,199,0.953125,0.09953954070806503,,
0,249,0.984375,0.05734396353363991,,
0,299,0.953125,0.21656697988510132,,
0,349,0.96875,0.19349759817123413,,
0,399,0.953125,0.19629427790641785,,
0,449,0.984375,0.05135359242558479,,
0,499,0.953125,0.10094879567623138,,
0,549,0.96875,0.056380052119493484,,
0,599,0.984375,0.0670250803232193,,
0,649,0.984375,0.09554440528154373,,
0,699,0.96875,0.07927393913269043,,
0,749,0.96875,0.06565773487091064,,
0,799,0.96875,0.0979105681180954,,
0,849,0.953125,0.167556494474411,,
0,899,0.96875,0.09193894267082214,,
0,936,,,0.9853765964508057,0.043661512434482574
1,949,0.96875,0.0422266460955143,,
1,999,1.0,0.01913304068148136,,
1,1049,0.984375,0.022137222811579704,,
1,1099,1.0,0.005280268378555775,,
1,1149,0.984375,0.022761037573218346,,
1,1199,0.96875,0.07538792490959167,,
1,1249,1.0,0.026752065867185593,,
1,1299,0.96875,0.0501151941716671,,
1,1349,0.984375,0.021816443651914597,,
1,1399,1.0,0.006621114443987608,,
1,1449,0.96875,0.05886198952794075,,
1,1499,0.96875,0.09364842623472214,,
1,1549,1.0,0.017143690958619118,,
1,1599,0.96875,0.11676182597875595,,
1,1649,0.984375,0.08883968740701675,,
1,1699,1.0,0.0024576829746365547,,
1,1749,0.984375,0.047882337123155594,,
1,1799,1.0,0.00462715420871973,,
1,1849,0.984375,0.028879493474960327,,
1,1873,,,0.9916867017745972,0.025033246725797653
2,1899,1.0,0.014378280378878117,,
2,1949,1.0,0.00250023091211915,,
2,1999,0.984375,0.14760391414165497,,
2,2049,1.0,0.003195566823706031,,
2,2099,0.984375,0.06648325175046921,,
2,2149,0.984375,0.05707273632287979,,
2,2199,1.0,0.0032801709603518248,,
2,2249,0.984375,0.02452208288013935,,
2,2299,0.96875,0.12768623232841492,,
2,2349,1.0,0.0028491865377873182,,
2,2399,0.96875,0.0953294187784195,,
2,2449,1.0,0.0028319067787379026,,
2,2499,1.0,0.020243169739842415,,
2,2549,0.984375,0.13804030418395996,,
2,2599,1.0,0.015268315561115742,,
2,2649,0.953125,0.19157303869724274,,
2,2699,1.0,0.007320876233279705,,
2,2749,0.984375,0.0666632428765297,,
2,2799,1.0,0.00867491215467453,,
2,2810,,,0.9916867017745972,0.02537134289741516
3,2849,0.984375,0.017301633954048157,,
3,2899,1.0,0.0032779888715595007,,
3,2949,1.0,0.0111345574259758,,
3,2999,0.984375,0.0321090891957283,,
3,3049,1.0,0.003026518039405346,,
3,3099,1.0,0.009892044588923454,,
3,3149,0.984375,0.022824469953775406,,
3,3199,1.0,0.004617023281753063,,
3,3249,1.0,0.003064644057303667,,
3,3299,0.984375,0.032846301794052124,,
3,3349,1.0,0.006370692979544401,,
3,3399,1.0,0.004317658953368664,,
3,3449,0.953125,0.11709723621606827,,
3,3499,1.0,0.004029299598187208,,
3,3549,0.984375,0.06606246531009674,,
3,3599,0.96875,0.052688151597976685,,
3,3649,1.0,0.007862413302063942,,
3,3699,0.984375,0.07526619732379913,,
3,3747,,,0.9908854365348816,0.029809121042490005
4,3749,1.0,0.001523301238194108,,
4,3799,1.0,0.0009150211699306965,,
4,3849,1.0,0.0019208693411201239,,
4,3899,0.984375,0.03816641494631767,,
4,3949,1.0,0.0009334228234365582,,
4,3999,0.984375,0.0930837020277977,,
4,4049,1.0,0.007050829939544201,,
4,4099,1.0,0.000507148215547204,,
4,4149,1.0,0.0033238567411899567,,
4,4199,1.0,0.0010622107656672597,,
4,4249,1.0,0.0031662466935813427,,
4,4299,1.0,0.0015727304853498936,,
4,4349,1.0,0.0056655751541256905,,
4,4399,1.0,0.003455131547525525,,
4,4449,1.0,0.004349437542259693,,
4,4499,1.0,0.0026241042651236057,,
4,4549,0.984375,0.06413601338863373,,
4,4599,1.0,0.003123719012364745,,
4,4649,0.984375,0.013983219861984253,,
4,4684,,,0.9909855723381042,0.027478231117129326
